OBJECTID, FIRE_SIZE, LATITUDE, LONGITUDE
68467, 55890.0, 44.95666667, -116.005
68571, 12568.0, 45.305, -115.42
68575, 84677.0, 45.295, -115.48166667
69170, 10500.0, 41.61666667, -111.35666667
69646, 28953.0, 41.635, -123.63833333
69680, 7015.0, 41.365, -123.15
69827, 44683.0, 40.135, -121.67833333
70398, 12303.0, 34.30166667, -117.12833333
70572, 20901.0, 33.63666667, -116.50833333
70581, 6420.0, 33.85, -116.68333333
71264, 46800.0, 39.54166667, -120.31666667
71276, 7310.0, 39.50166667, -120.06666667
72076, 8900.0, 48.78166667, -119.98166667
72394, 6998.0, 42.13666667, -123.725
72604, 11081.0, 45.03333333, -118.525
72915, 7449.0, 45.375, -116.73
72916, 22330.0, 42.08666667, -117.05333333
72919, 7517.0, 45.29, -116.64833333
73103, 140000.0, 47.83333333, -120.33333333
73150, 12060.0, 47.65166667, -120.765
73162, 29435.0, 47.54666667, -120.74333333
73555, 10580.0, 48.70444444, -118.47333333
74467, 24600.0, 34.88333333, -77.11666667
76313, 6885.0, 41.87944444, -100.48416667
76604, 19725.0, 33.545, -109.14
77778, 10000.0, 33.39833333, -108.13333333
77792, 29000.0, 33.185, -107.85166667
77811, 7691.0, 33.25833333, -108.56833333
77869, 13000.0, 33.68, -108.54666667
78409, 22092.0, 33.95, -111.58333333
78412, 7000.0, 34.15, -112.02
78532, 9500.0, 33.58333333, -111.585
79293, 11034.0, 40.51, -115.36833333
79863, 7063.0, 40.21666667, -112.71666667
80169, 7083.0, 32.975, -116.44166667
80188, 8100.0, 32.88833333, -116.82666667
80886, 23455.0, 33.95166667, -116.69166667
84435, 12600.0, 48.00666667, -90.77333333
85048, 7000.0, 34.57166667, -111.40166667
85205, 6716.0, 32.69833333, -109.95666667
85554, 8650.0, 35.42, -111.78166667
85629, 7100.0, 34.20833333, -105.77666667
86863, 23398.0, 41.565, -121.24666667
87517, 58960.0, 33.70666667, -111.33666667
88174, 6700.0, 39.48333333, -119.98166667
88831, 9500.0, 43.17833333, -105.74833333
88974, 7376.0, 37.45333333, -113.78
89726, 58307.0, 41.97, -117.565
90153, 20000.0, 44.67333333, -114.68666667
90703, 8100.0, 45.445, -115.08333333
91277, 38710.0, 45.57, -114.75166667
91506, 35907.0, 36.455, -112.43833333
91524, 17688.0, 36.58, -112.56666667
91647, 8332.0, 44.86833333, -118.68333333
91654, 37835.0, 44.77666667, -118.64166667
91656, 50633.0, 45.075, -118.56666667
91760, 22000.0, 44.96, -119.87666667
91787, 10400.0, 43.79666667, -122.035
92167, 16400.0, 35.38, -111.75333333
92194, 10137.0, 44.90027778, -118.29388889
92492, 10405.2, 38.185, -112.38666667
92677, 14890.0, 45.17833333, -109.655
92854, 9523.0, 37.62166667, -103.62166667
92856, 11875.0, 39.33833333, -105.33833333
93450, 10146.2, 44.295, -118.74166667
93694, 16575.0, 35.77666667, -106.415
93717, 15263.0, 43.64277778, -116.185
93911, 16100.0, 45.43666667, -116.5225
93912, 52600.0, 45.56555556, -116.57194444
94026, 17000.0, 33.215, -108.62
94027, 6500.0, 33.27333333, -108.495
94118, 12371.0, 37.855, -119.82666667
94706, 83323.0, 39.25833333, -122.91666667
94909, 16358.0, 43.035, -122.535
94961, 15706.4, 38.75, -112.35
95245, 10925.0, 34.45944444, -118.9375
95273, 9620.0, 33.735, -116.835
95445, 22000.0, 34.525, -118.64333333
95562, 106668.0, 35.42, -120.42277778
95575, 7525.0, 36.63166667, -105.66666667
95582, 25620.0, 35.96833333, -121.48333333
97583, 9000.0, 42.0, -100.5
99942, 49490.0, 35.14166667, -120.16833333
101459, 25000.0, 33.275, -108.36833333
102483, 6317.0, 33.76833333, -117.66
102487, 7231.0, 33.495, -117.00666667
103653, 18186.0, 34.28333333, -117.75
104276, 24602.0, 30.165, -84.51166667
104624, 20100.0, 30.34, -82.50666667
109354, 7198.0, 45.2625, -115.25388889
111545, 7980.0, 45.40333333, -114.805
111703, 8500.0, 47.96666667, -120.39
112900, 7038.0, 47.455, -114.25
112926, 9700.0, 41.88833333, -121.69666667
113107, 28164.0, 33.90666667, -116.86666667
113255, 8800.0, 48.26666667, -113.37666667
115425, 30568.0, 41.70972222, -121.07333333
115870, 6675.0, 30.26666667, -84.43333333
115901, 69060.0, 30.475, -82.395
116283, 8312.0, 38.26666667, -115.43333333
117010, 7200.0, 34.23361111, -117.85
117294, 6800.0, 33.27388889, -116.85694444
117587, 14090.0, 40.78361111, -122.4675
117630, 26202.0, 40.71861111, -122.20111111
117635, 124898.0, 41.1025, -123.375
118331, 23761.0, 36.26833333, -121.61722222
118337, 49551.0, 36.01694444, -121.50055556
118340, 12960.0, 36.21805556, -121.63444444
118351, 14537.0, 35.04555556, -119.97722222
119190, 17000.0, 40.30055556, -121.83166667
119795, 6179.0, 30.46166667, -82.60333333
120298, 8826.0, 40.08333333, -111.81666667
120495, 34175.0, 39.90166667, -121.31666667
121434, 11725.0, 39.47138889, -121.08638889
121554, 60390.0, 40.22, -121.66222222
121584, 7878.0, 44.86388889, -114.84972222
122235, 65000.0, 34.2675, -117.13472222
125949, 11000.0, 33.50194444, -108.50222222
126555, 15230.0, 45.54333333, -115.02416667
127173, 18500.0, 44.47833333, -120.5875
127431, 7979.0, 47.725, -103.28611111
127432, 51627.0, 47.67083333, -104.01666667
127442, 10599.0, 40.44527778, -105.33527778
127708, 15427.0, 36.31916667, -111.98472222
127745, 9404.0, 48.89333333, -119.41305556
128215, 10000.0, 43.45138889, -105.46944444
128883, 28348.0, 35.66777778, -105.63444444
128967, 35238.0, 43.7225, -115.12305556
129110, 22527.0, 45.82166667, -116.23166667
129519, 8759.0, 35.38444444, -111.90083333
129654, 16452.0, 33.1675, -108.31861111
129655, 7081.0, 33.28527778, -108.33527778
129731, 10944.0, 42.19305556, -113.18916667
129762, 56010.0, 41.97333333, -114.45027778
130357, 8530.0, 44.90194444, -115.95083333
130361, 74998.0, 45.38472222, -115.28555556
130362, 15040.0, 45.50138889, -115.0675
130364, 149772.0, 45.15138889, -115.18583333
130367, 9371.0, 44.86694444, -115.3175
130372, 64631.0, 45.27666667, -115.89166667
130725, 7530.0, 38.68555556, -117.25222222
130854, 31194.0, 41.72027778, -115.19555556
130867, 9359.0, 33.78472222, -110.91722222
131283, 9264.0, 45.59305556, -105.93472222
131284, 61649.0, 45.31722222, -106.20333333
131733, 48300.0, 45.83, -114.02333333
131738, 6450.0, 45.85833333, -114.02333333
131743, 11486.0, 46.26916667, -114.23333333
131763, 19456.0, 45.725, -114.84833333
131765, 16770.0, 45.58, -114.86333333
131788, 21998.0, 46.07333333, -113.89333333
131793, 145040.0, 45.96416667, -114.01722222
131799, 6333.0, 46.24222222, -113.80555556
131808, 21487.0, 45.645, -114.155
131818, 13200.0, 45.635, -114.42
131833, 6249.0, 45.51833333, -114.26
131835, 7000.0, 46.02444444, -114.09166667
131939, 14750.0, 42.22444444, -110.63472222
131940, 6600.0, 43.96888889, -110.26944444
131948, 9800.0, 43.04944444, -110.68527778
132071, 6710.0, 44.37166667, -114.73
132079, 63760.0, 44.76027778, -115.33416667
132121, 26040.0, 45.34361111, -114.77888889
132123, 7000.0, 45.48, -114.62166667
132132, 24639.0, 44.925, -114.67666667
132151, 172135.0, 45.22166667, -114.495
132263, 6679.0, 30.10166667, -84.74
132899, 6660.0, 48.76694444, -115.33444444
132901, 11115.0, 48.81416667, -115.16888889
132989, 9423.0, 48.82444444, -115.59583333
133575, 56319.0, 45.9125, -116.86666667
133580, 32967.0, 45.75305556, -116.64861111
133900, 30000.0, 46.67, -111.69444444
133932, 10800.0, 39.41166667, -105.39472222
133978, 75000.0, 35.86777778, -118.28388889
134016, 10000.0, 47.21916667, -114.81861111
134081, 17817.0, 47.23333333, -114.625
134126, 23802.0, 47.26472222, -113.20638889
134338, 10800.0, 44.92611111, -111.33777778
134611, 83508.0, 43.73166667, -103.88666667
134662, 55261.0, 39.91694444, -121.3175
134811, 11540.0, 39.45388889, -112.21222222
134901, 6518.0, 33.35027778, -105.63388889
134908, 16034.0, 32.71666667, -105.71805556
134912, 10120.0, 35.92833333, -81.90833333
134927, 45767.7, 42.69333333, -101.11833333
138745, 9324.0, 48.78777778, -120.06111111
139183, 7510.0, 41.89333333, -115.58222222
139359, 24970.0, 39.375, -122.635
139842, 23647.0, 44.63833333, -115.37166667
140058, 41830.0, 41.66388889, -117.19805556
140923, 16459.0, 45.66944444, -116.77055556
141262, 14500.0, 38.7725, -119.79777778
141380, 7400.0, 34.29972222, -111.79444444
141544, 34319.0, 41.15944444, -120.31166667
142071, 16761.0, 39.05, -120.51861111
142323, 55913.0, 48.20055556, -120.49805556
142512, 8055.0, 41.60583333, -123.51166667
142884, 26873.0, 45.38611111, -110.85777778
143115, 8649.0, 48.13444444, -113.51777778
143117, 71000.0, 48.58583333, -114.35027778
143121, 9674.0, 47.23555556, -113.30194444
143153, 7600.0, 47.74833333, -112.93583333
143182, 14990.0, 43.7125, -104.08333333
143186, 11740.0, 43.625, -103.91166667
143393, 6540.0, 34.49055556, -118.45638889
143610, 6914.0, 47.59, -120.765
143927, 6144.0, 48.78861111, -118.49416667
147681, 23573.0, 44.61861111, -121.47138889
